"Organization name",Phone,Email,Website,Address,"Address city","Address state","Address country",Label,"Liczba ofert OLX","Ostatnia oferta OLX","Pierwsza oferta OLX","OLX ID","Przykladowa oferta URL","Stanowiska (probka)"
"Dominika Jasińska","","","","","Chojnów","Dolnośląskie",Polska,"Produkcja ogólna",2,2026-03-11,2025-05-12,910758834,https://www.olx.pl/oferta/praca/osoba-na-stanowisko-operator-produkcji-zwrot-za-dojazdy-CID4-ID19JBiP.html,"Osoba na stanowisko: Operator produkcji/ Zwrot za "
"Kadry Serwis Sp. z o.o.","","","","",Szczecin,Zachodniopomorskie,Polska,"Produkcja ogólna",2,2026-03-06,2023-07-17,7230219,https://www.olx.pl/oferta/praca/wsparcie-przy-produkcji-kabli-jedna-zmiana-pon-pt-CID4-ID19Fy1t.html,"Praca na produkcji/obsługa wózka widłowego lub suw,Wsparcie przy produkcji kabli – jedna zmiana, pon-"
"Phillips Medisize Poland","","","","","Siemianowice Śląskie","Śląskie",Polska,"Produkcja ogólna",2,2026-03-05,2024-11-18,1399613599,https://www.olx.pl/oferta/praca/technik-procesu-produkcyjnego-k-m-CID4-ID19E7DF.html,"Technik Procesu Produkcyjnego (k/m),Operator/ka produkcji | Umowa o pracę"
"HiProMine S.A.","","","","","Karkoszów",Lubuskie,Polska,"Produkcja ogólna",2,2026-02-26,2026-02-19,2546611057,https://www.olx.pl/oferta/praca/operator-produkcji-operatorka-produkcji-CID4-ID19sHq4.html,"Operator Produkcji / Operatorka Produkcji,Brygadzista Produkcji / Brygadzistka Produkcji"
"SEBA TECH GROUP","","","","",Sanok,Podkarpackie,Polska,"Produkcja ogólna",2,2026-02-26,2026-01-06,2547573797,https://www.olx.pl/oferta/praca/technolog-procesu-i-wdrozenia-CID4-ID18Wdut.html,"Monter maszyn i urządzeń przemysłowych Монтер пром,Technolog procesu i wdrożenia"
MARTA,"","","","","Toruń",Kujawsko-pomorskie,Polska,"Elektryka / Automatyka / UR",2,2026-02-26,2025-01-15,31420003,https://www.olx.pl/oferta/praca/wsparcie-dzialu-utrzymania-ruchu-elektroautomatyk-k-m-n-CID4-ID19ynte.html,"Wsparcie Działu Utrzymania Ruchu - Elektroautomaty,Produkcja opakowań - obsługa maszyn drukarskich"
Marcin,"","","","",Katowice,"Śląskie",Polska,"Produkcja ogólna",2,2026-02-25,2025-11-17,1463448260,https://www.olx.pl/oferta/praca/slusarz-monter-CID4-ID19xwDf.html,"Ślusarz / monter,Osoba do pracy na produkcji"
"SEDAR S.A.","","","","","Międzyrzec Podlaski",Lubelskie,Polska,"Elektryka / Automatyka / UR",2,2026-02-20,2026-02-20,455118199,https://www.olx.pl/oferta/praca/pracownik-maszynowni-chlodniczej-k-m-CID4-ID19tOVn.html,"Pracownik maszynowni chłodniczej (K/M),Praca Elektryk (K/M)"
"Noma Sp. z o.o.","46 814 55 00","","","","Rawa Mazowiecka","Łódzkie",Polska,"Przemysł metalowy / obróbka",2,2026-02-18,2026-02-18,689049315,https://www.olx.pl/oferta/praca/produkcja-operator-obrabiarek-cnc-k-m-mozliwosc-przyuczenia-CID4-ID19shzs.html,"Pracownik produkcji - SPAWACZ (K/M),Produkcja - Operator Obrabiarek CNC (K/M) - możliw"
"HSS Work Sp. z.o.o","","","","",Tczew,Pomorskie,Polska,"Produkcja ogólna",2,2026-02-17,2020-12-09,648018746,https://www.olx.pl/oferta/praca/pracownik-produkcji-k-m-CID4-ID19rwka.html,"Operator Pras Krawędziowych (K/M),Pracownik produkcji (K/M)"
kadry,"","","","","Golub-Dobrzyń",Kujawsko-pomorskie,Polska,"Przemysł metalowy / obróbka",2,2026-02-13,2025-07-17,1057070439,https://www.olx.pl/oferta/praca/slusarz-k-m-monter-k-m-zatrudnienie-od-zaraz-CID4-ID19oCya.html,"Ślusarz (K/M)/ Monter (K/M) zatrudnienie od zaraz ,Operator maszyn CNC (K/M) -  Zapewniamy ustruktury"
"LOTTE Wedel","","","","",Warszawa,Mazowieckie,Polska,"Produkcja ogólna",2,2026-02-13,2026-02-12,2550777302,https://www.olx.pl/oferta/praca/pracownik-pracownica-produkcji-CID4-ID19nDBJ.html,"Operator Produkcji/Operatorka Produkcji,Pracownik / Pracownica Produkcji"
"Monika Paruch","","","","","Kłaj","Małopolskie",Polska,"Produkcja ogólna",2,2026-02-11,2026-02-03,2550937162,https://www.olx.pl/oferta/praca/pracownik-k-m-do-skladania-stolarki-aluminiowej-CID4-ID19gPcW.html,"Pracownik( K/M) do składania stolarki aluminiowej,Brygadzista/ Kierownik  ( K/M)przy produkcji stola"
Kadry,"","","","","Łuków",Lubelskie,Polska,"Elektryka / Automatyka / UR",2,2026-02-06,2023-11-10,807719152,https://www.olx.pl/oferta/praca/pracownik-produkcji-lukow-kobieta-mezczyzna-CID4-IDXimfW.html,"Pracownik produkcji - Łuków (kobieta/mężczyzna),Elektryk - Łuków (kobieta/mężczyzna)"
"Apator Telemetria Sp. z o. o.","","","","","Słupsk",Pomorskie,Polska,"Produkcja ogólna",2,2026-02-05,2026-02-05,405340415,https://www.olx.pl/oferta/praca/lider-wydzialu-smt-k-m-CID4-ID19ikEb.html,"Lider Produkcji (k/m),Lider wydziału SMT (k/m)"
"POLIKAT S.A.","","","","","Brzozów",Podkarpackie,Polska,"Logistyka / Transport",2,2026-02-04,2026-02-04,1248863320,https://www.olx.pl/oferta/praca/praca-kierownik-zmiany-k-m-polikat-s-a-CID4-ID19hBxC.html,"Praca Kierownik ds. handlu i logistyki ( K/M),Praca Kierownik Zmiany ( K/M) POLIKAT S.A."
"BAGPAK Sp. z o.o.","","","","","Stalowa Wola",Podkarpackie,Polska,"Produkcja ogólna",2,2026-01-19,2025-05-15,240578697,https://www.olx.pl/oferta/praca/bagpak-polska-sp-z-o-o-zatrudni-osobe-na-stanowisku-mechanik-k-m-CID4-ID195hcl.html,"Bagpak Polska Sp. z o.o. zatrudni Operatora konser,Bagpak Polska Sp. z o.o. zatrudni osobę na stanowi"
"Odlewnia Żeliwa Simiński-Ordon","","","","",Zawodzie,"Śląskie",Polska,"Produkcja ogólna",2,2026-01-12,2025-09-19,75519321,https://www.olx.pl/oferta/praca/suwnicowy-operator-pieca-indukcyjnego-m-k-CID4-ID17vwa6.html,"Operator / Operatorka maszyn i urządzeń,Suwnicowy - Operator pieca indukcyjnego (M/K)"
"sia Abrasives Sp. z o.o.","","","","","Goleniów",Zachodniopomorskie,Polska,Magazyn,2,2026-01-12,2026-01-08,80765585,https://www.olx.pl/oferta/praca/pracownik-produkcji-operator-maszyn-k-m-CID4-ID18VrBj.html,"Magazynier - Operator wózków widłowych (K/M),Pracownik produkcji - Operator maszyn (K/M)"
"Zakłady Mięsne Skiba S.A.","","","","",Chojnice,Pomorskie,Polska,"Produkcja ogólna",2,2025-12-31,2024-09-04,25745389,https://www.olx.pl/oferta/praca/szukasz-pracy-na-produkcji-mamy-cos-dla-ciebie-CID4-ID11MQ9J.html,"Szukasz pracy na produkcji? Mamy coś dla Ciebie,Maszynista chłodni (k/m/n)"
"Hermes Fulfilment","","","","","Konin Żagański",Lubuskie,Polska,"Elektryka / Automatyka / UR",2,2025-12-22,2025-08-05,1448640751,https://www.olx.pl/oferta/praca/technik-utrzymania-ruchu-automatyk-m-k-hermes-fulfilment-CID4-ID16UqeH.html,"Praca w magazynie – Hermes Fulfilment| Konin Żagań,Technik Utrzymania Ruchu – Automatyk (m/k) | Herme"
"UPM Adhesive Materials","","","","","Biskupice Podgórne","Dolnośląskie",Polska,"Elektryka / Automatyka / UR",2,2025-12-05,2025-10-23,2546957303,https://www.olx.pl/oferta/praca/technik-techniczka-automatyki-pensja-na-start-od-8000-zl-brutto-premia-CID4-ID18yMPP.html,"Operator/Operatorka Maszyn - Pensja na start od 62,Technik/Techniczka Automatyki  - Pensja na start o"
"Paweł Hurkała","","","","",Szczecin,Zachodniopomorskie,Polska,"Pakowanie / FMCG",2,2025-11-16,2025-09-30,8547367,https://www.olx.pl/oferta/praca/zatrudnie-osobe-do-pakowania-zywnosci-CID4-ID17FIWb.html,"Zatrudnię osobę do pakowania żywności,Pracownik Produkcji (praca fizyczna)– 2 zmiany"
"Szwalnia fabryczna, Żywiec","","","","","Żywiec","Śląskie",Polska,"Produkcja ogólna",2,2025-11-03,2023-10-10,880766901,https://www.olx.pl/oferta/praca/zatrudnie-krawcowa-szwaczke-zywiec-emerytki-rowniez-mile-widziane-CID4-IDVMk1C.html,"Zatrudnię krawcową/ szwaczke Żywiec, emerytki równ,Szwalnia zatrudni krawcową"
"Studio Wnętrz Meblarnia","","","","","Syców","Dolnośląskie",Polska,"Produkcja ogólna",2,2025-10-06,2025-10-06,441622592,https://www.olx.pl/oferta/praca/praca-dla-stolarz-montazysta-meble-na-wymiar-CID4-ID17KtZf.html,"PRACA dla Stolarz / Montażysta Meble na wymiar"
"Pro-Inżynier Sp. z o.o.","","","","","Źródła","Dolnośląskie",Polska,"Przemysł metalowy / obróbka",2,2025-10-01,2017-03-15,26516901,https://www.olx.pl/oferta/praca/spawacz-mag-135-zrodla-CID4-IDkVGMO.html,"Operator wózka widłowego - pracownik produkcji / Ź,Spawacz MAG 135 / Źródła"
Kadry,"","","","","Kliniska Wielkie",Zachodniopomorskie,Polska,"Produkcja ogólna",2,2025-09-23,2025-04-16,43202065,https://www.olx.pl/oferta/praca/operator-robota-spawalniczego-do-przyuczenia-k-m-CID4-ID17zVUs.html,"Operator robota spawalniczego do przyuczenia k/m,Operator maszyn i urządzeń k/m"
Leszek,"","","","",Rybnik,"Śląskie",Polska,"Przemysł metalowy / obróbka",2,2025-09-22,2023-02-14,68462264,https://www.olx.pl/oferta/praca/technolog-technolozka-obrabiarek-cnc-CID4-ID17ySOq.html,"Operator / Operatorka obrabiarek  CNC,Technolog / Technolożka obrabiarek  CNC"
Krystian,"","","","","Żywiec","Śląskie",Polska,"Produkcja ogólna",2,2025-09-17,2019-11-29,193008143,https://www.olx.pl/oferta/praca/praca-od-4300-zl-do-6300-zl-na-reke-operator-produkcji-das-czechy-CID4-IDCG4Lk.html,"Praca od 4300 zł do 6300 zł na rękę Operator produ,Praca od 4250 zł do 6300 zł na rękę Operator Sklad"
"TechniSat Digital Sp. z o.o.","","","","","Oborniki Śląskie","Dolnośląskie",Polska,"Produkcja ogólna",2,2025-08-27,2025-04-29,23596053,https://www.olx.pl/oferta/praca/operator-produkcji-technisat-digital-sp-z-o-o-CID4-ID15BZ7h.html,"Operator Produkcji TechniSat Digital Sp. z o.o.,Operator produkcji - obsługa maszyn SMT (K/M)"
"Dział Kadr","","","","",Jatne,Mazowieckie,Polska,"Produkcja ogólna",2,2025-07-29,2025-05-28,74031892,https://www.olx.pl/oferta/praca/osoba-na-stanowisku-produkcyjnym-CID4-ID16O6pu.html,"Osoba do serwisu mechanicznego,Osoba na stanowisku produkcyjnym"
Ola,"","","","",Legnica,"Dolnośląskie",Polska,"Przemysł metalowy / obróbka",2,2025-07-01,2025-05-21,74244712,https://www.olx.pl/oferta/praca/spawacz-pomocnik-spawacza-winkelmann-legnica-CID4-ID15WhUG.html,"Operator/ Operatorka produkcji - Wałbrzych,Spawacz /Pomocnik Spawacza Winkelmann Legnica"
Gabriela,"","","","","Jastrzębie-Zdrój","Śląskie",Polska,"Produkcja ogólna",2,2025-06-17,2024-07-01,44891447,https://www.olx.pl/oferta/praca/produkcja-elektroniki-samochodowej-ostrava-dojazd-wlasny-CID4-ID16gtbX.html,"Produkcja elektroniki samochodowej Ostrava dojazd ,Podzespoły klimatyzacji. Darmowy dojazd ."
"Konsport - Nowoczesne Systemy Ogrodzeniowe","","","","",Antoniew,"Łódzkie",Polska,"Przemysł metalowy / obróbka",2,2025-06-11,2021-06-16,135320003,https://www.olx.pl/oferta/praca/zatrudnimy-spawacza-spawaczke-CID4-ID16bPNa.html,"Zatrudnimy spawacza/spawaczke,Osoba do prac magazynowych i przygotowywania towar"
Klaudia,"","","","","Grójec",Mazowieckie,Polska,"Produkcja ogólna",2,2025-05-19,2025-04-29,67041732,https://www.olx.pl/oferta/praca/operator-operatorka-produkcji-wolne-weekendy-transport-pracowniczy-CID4-ID15TC2n.html,"Operator / Operatorka Produkcji - wolne weekendy,Operator/Operatorka Produkcji - wolne weekendy, tr"
